FirstName,LastName,EmployeeClassificationType,DOB,JobFunctionDescription,State,GenderCode,LocationCode,RaceDesc,MaritalDesc
Nilson,Fernandes,Part-Time,02-08-1999,Technician,MA,Male,2132,Hispanic,Divorced
Alain,Robinson,Temporary,10-01-1993,Engineer,MA,Male,1420,Asian,Widowed
Seffi,Shields,Part-Time,24-12-1971,Laborer,MA,Female,2149,Other,Single
Horia,Ndzi,Temporary,10-05-1964,Laborer,MA,Male,2421,White,Divorced
Evelyn,Girifalco,Part-Time,19-03-1944,Engineer,MA,Female,2451,White,Widowed
Ermine,Pelletier,Part-Time,19-09-1953,Groundman,MA,Female,2472,Black,Single
Samuel,MacLennan,Temporary,02-04-1957,Splicer,MA,Male,1938,Asian,Widowed
Sean,Bernstein,Temporary,14-09-1995,Supervisor,MA,Male,2072,Asian,Divorced
Shakira,Perry,Full-Time,11-10-1948,Technician,MA,Female,2176,Hispanic,Single
Michael J,Fitzpatrick,Temporary,01-01-1995,Lineman,MA,Male,2143,Other,Single
Cybil,Trzeciak,Part-Time,09-02-1992,Laborer,MA,Female,1778,Other,Single
Barry,Wilber,Full-Time,18-04-1969,Flagger,MA,Male,2324,White,Married
Enola,Chivukula,Part-Time,01-10-1981,Laborer,MA,Female,1775,White,Divorced
Joelle,Burke,Temporary,05-05-1987,Foreman,MA,Female,2148,Asian,Single
Alexandra,Kirill,Part-Time,31-05-1952,Splicer,MA,Female,2127,White,Widowed
Celeste,Johnson,Part-Time,15-07-1975,Project Manager,MA,Female,84262,White,Single
Nathalia,Hendrix,Part-Time,03-09-1976,Lineman,MA,Female,31490,Asian,Divorced
Justus,Bowen,Part-Time,31-12-1960,Laborer,MA,Female,59522,Hispanic,Widowed
Marcus,Bender,Part-Time,19-02-1997,Technician,MA,Male,63452,Black,Widowed
Ryker,Logan,Full-Time,10-08-1984,Clerk,MA,Male,50055,White,Divorced
Payten,Middleton,Temporary,23-08-1997,Technician,MA,Male,6139,Other,Divorced
Harrison,Hunt,Temporary,29-02-1976,Project Manager,MA,Male,44761,Asian,Divorced
Orlando,Henderson,Part-Time,31-12-1994,Laborer,MA,Female,49105,White,Single
Darian,Potts,Temporary,20-09-1968,Administration,MA,Female,24637,Black,Divorced
Isabela,Collins,Full-Time,29-05-1981,Lineman,MA,Female,87582,Hispanic,Widowed
Sierra,Macias,Part-Time,13-11-1975,Technician,MA,Female,35632,White,Married
Giuliana,Farmer,Full-Time,06-11-1965,Lineman,MA,Female,38475,Other,Married
Pierce,Robbins,Full-Time,17-06-1986,Technician,MA,Female,80817,Other,Married
Lamont,Bridges,Part-Time,05-05-1991,Lineman,MA,Male,10511,Hispanic,Married
Gretchen,Richard,Temporary,27-10-1959,Engineer,MA,Male,6305,White,Divorced
Axel,Hart,Full-Time,28-03-2001,Technician,MA,Male,33576,White,Married
Emma,Escobar,Part-Time,20-06-1957,Technician,MA,Female,12707,Hispanic,Married
Maximilian,Craig,Part-Time,17-05-1956,Tower Hand,MA,Female,73131,Other,Married
Erik,Padilla,Part-Time,17-02-1997,Intern,MA,Female,37659,Hispanic,Divorced
Gilbert,Duffy,Part-Time,22-03-1995,Operator,MA,Female,48502,Black,Single
Raymond,Ayers,Full-Time,04-11-1963,Laborer,MA,Female,88428,Hispanic,Widowed
Vincent,Wyatt,Part-Time,20-11-1949,Engineer,MA,Female,95347,Hispanic,Married
Micah,Stanley,Temporary,07-09-1996,Technician,MA,Female,80920,Asian,Single
Evan,Chen,Temporary,30-08-1964,Principal,MA,Male,7440,Other,Widowed
Serenity,Thornton,Temporary,27-03-1946,Driver,MA,Male,84202,Other,Divorced
Talan,Rivas,Part-Time,28-02-1954,Laborer,MA,Male,3187,Black,Single
Calvin,Braun,Temporary,02-08-1983,Coordinator,MA,Male,2766,Black,Divorced
Cale,Bender,Temporary,11-04-1953,Technician,MA,Male,75014,Hispanic,Married
Kirsten,Vance,Full-Time,11-08-1988,Engineer,MA,Female,53486,Black,Single
Cade,Cox,Full-Time,14-08-1941,Locator,MA,Female,73898,Black,Divorced
Ibrahim,Wolfe,Temporary,10-11-1992,Coordinator,MA,Female,89723,Asian,Married
Elianna,Schmitt,Full-Time,20-06-1942,Lineman,MA,Female,46695,Hispanic,Widowed
Colby,Wolfe,Part-Time,16-04-1963,Project Manager,MA,Female,12711,Asian,Single
Autumn,Barrera,Full-Time,04-03-1948,Shop,MA,Male,66792,Hispanic,Married
Emmalee,Cervantes,Part-Time,10-11-1963,Groundman,MA,Male,81317,Hispanic,Divorced
Ernest,Willis,Full-Time,30-09-1943,Lineman,MA,Female,50894,Black,Single
Jaxon,Anderson,Temporary,22-06-1943,Project Manager,MA,Female,22415,Black,Married
Precious,Caldwell,Temporary,17-09-1941,Locator,MA,Female,5855,Asian,Married
Yahir,Serrano,Full-Time,03-04-1981,Lineman,MA,Female,64124,White,Single
Krystal,Peterson,Part-Time,29-06-1978,Laborer,MA,Male,2497,Asian,Widowed
Jadyn,Haley,Full-Time,02-10-1963,Engineer,MA,Female,36242,Other,Divorced
Davis,Roberts,Temporary,20-10-1941,Laborer,MA,Female,87428,Asian,Divorced
Meadow,Avery,Part-Time,01-11-1987,Laborer,MA,Female,76772,White,Married
Allyson,Owen,Temporary,06-11-1951,Clerk,MA,Female,21218,Other,Married
Francisco,Simon,Full-Time,20-04-1980,Project Manager,MA,Male,94316,Hispanic,Married
Trent,Christian,Temporary,18-03-1996,Manager,MA,Male,39746,Hispanic,Married
Chaya,Boyd,Full-Time,04-07-1958,Technician,MA,Male,96001,Asian,Widowed
Nehemiah,Rivas,Temporary,03-06-1979,Splicer,MA,Male,62733,Other,Divorced
Wyatt,Spence,Full-Time,10-09-1976,Flagger,MA,Female,66418,Asian,Single
Abram,Fisher,Part-Time,30-08-1954,Runner,MA,Female,78453,Other,Widowed
Jayleen,Oconnell,Temporary,17-08-1983,Laborer,MA,Female,85444,Asian,Widowed
Jordon,Meadows,Part-Time,07-02-1996,Manager,MA,Female,93166,White,Divorced
Justice,Pineda,Part-Time,25-10-1950,Project Coordinator,MA,Female,12732,Other,Married
Isiah,Decker,Full-Time,09-09-1998,Laborer,MA,Female,48895,Other,Widowed
Giada,Boone,Temporary,13-01-1965,Foreman,MA,Male,73043,Other,Married
Camryn,Guerra,Full-Time,01-09-1955,Laborer,MA,Female,69064,Other,Single
Melody,Rollins,Full-Time,10-01-1951,Assistant,MA,Female,85041,White,Married
Lucia,Cummings,Part-Time,15-09-1960,Operator,MA,Female,66037,Asian,Single
Jaylen,Serrano,Full-Time,18-07-1951,Laborer,MA,Female,53112,Black,Single
Jayson,Bright,Part-Time,24-07-1953,Laborer,MA,Female,93320,Hispanic,Single
Carlie,Wilkerson,Full-Time,20-05-1952,Engineer,MA,Male,39849,Asian,Married
Kaylyn,Patrick,Full-Time,30-01-1968,Manager,MA,Female,38596,White,Widowed
Evie,Pope,Temporary,10-12-1973,Construction Manager,MA,Female,31731,Other,Widowed
Nayeli,Kelley,Part-Time,04-08-1996,Laborer,MA,Female,38710,Asian,Divorced
Krista,Franco,Part-Time,27-12-1960,Project Manager,MA,Female,7184,White,Married
Teresa,Farrell,Temporary,06-07-1968,Lineman,MA,Female,13425,Other,Married
Dorian,Fox,Part-Time,07-05-1959,Laborer,MA,Male,93796,Other,Single
Madeleine,Sherman,Full-Time,08-09-1990,Supervisor,MA,Male,92453,Black,Divorced
Allan,Butler,Full-Time,30-11-1944,Laborer,MA,Male,10449,Hispanic,Single
Nevaeh,Davila,Part-Time,16-06-1993,Laborer,MA,Male,14795,Other,Married
Gunnar,Webster,Temporary,09-12-1973,Splicer,MA,Female,60901,Black,Divorced
Aydin,Tate,Full-Time,18-12-1946,Technician,MA,Female,64083,Black,Married
Patrick,Mckinney,Temporary,01-10-1951,Foreman,MA,Female,50781,Hispanic,Divorced
Milagros,Foley,Full-Time,22-02-1973,Engineer,MA,Female,67399,Other,Widowed
Rachael,Buck,Temporary,25-08-1983,Tester,MA,Female,82086,Hispanic,Single
Rigoberto,Townsend,Full-Time,15-09-1997,Supervisor,MA,Female,97001,Black,Single
Reagan,Odonnell,Part-Time,28-05-1979,Estimator,MA,Male,13562,Black,Divorced
Roy,Morse,Full-Time,07-03-1988,Engineer,MA,Female,55949,Other,Married
Rafael,Buchanan,Full-Time,20-04-1998,Project Manager,MA,Female,88496,Hispanic,Married
Kaitlynn,Herman,Full-Time,25-04-1978,Billing,MA,Female,55947,Black,Divorced
Marquise,Santana,Full-Time,07-12-1988,Technician,MA,Female,75540,White,Single
Jamarion,Mitchell,Temporary,18-09-1950,Foreman,MA,Female,68342,Black,Married
Gabrielle,Hardy,Temporary,08-03-1953,Foreman,MA,Male,5779,Asian,Widowed
Savion,Stokes,Part-Time,27-03-1967,Foreman,MA,Female,91065,Hispanic,Widowed
Trevin,Summers,Temporary,07-11-1978,Administrator,MA,Female,47386,Other,Married
Hailie,Bell,Part-Time,12-06-1958,Administrative,MA,Female,38009,Hispanic,Divorced
Audrey,Stevens,Part-Time,28-09-1952,Laborer,MA,Female,61843,Asian,Married
Jason,Munoz,Part-Time,14-04-1950,Laborer,MA,Female,75258,White,Widowed
Carlee,Foley,Full-Time,08-10-1977,Laborer,MA,Female,62616,Other,Married
Sarahi,Dodson,Part-Time,27-01-1954,Flagger,MA,Male,53450,Other,Divorced
Faith,Carey,Temporary,20-06-1983,Model Assistant,MA,Male,9799,White,Widowed
Mylie,Salazar,Part-Time,16-01-1987,Engineer,MA,Male,14153,White,Divorced
Pablo,Parker,Temporary,26-08-1948,Vp,MA,Male,76112,White,Married
Ulises,Shea,Part-Time,04-05-1956,Shop,MA,Female,73101,Hispanic,Single
Bethany,Terry,Part-Time,15-02-1956,Drafter,MA,Female,82378,White,Divorced
Kamari,Holloway,Full-Time,08-07-1956,Laborer,MA,Female,63878,White,Divorced
Jazlene,Mcdaniel,Part-Time,30-12-1979,Laborer,MA,Female,59862,Black,Single
Dane,Kelly,Part-Time,04-06-1999,Foreman,MA,Female,23252,Other,Married
Camila,Dunn,Part-Time,24-12-1948,Top Hand,MA,Female,91039,Asian,Divorced
Aurora,Frederick,Part-Time,11-12-1981,Splicer,MA,Male,37834,Other,Widowed
Caylee,Nunez,Full-Time,27-08-1983,Project Manager,MA,Female,46678,Hispanic,Single
Tamia,Sharp,Part-Time,22-03-1987,Coordinator,MA,Female,41849,White,Married
Jaliyah,Gamble,Full-Time,19-09-1967,Splicer,MA,Female,16422,Asian,Divorced
Xander,Savage,Temporary,18-07-1983,Laborer,MA,Female,79625,Asian,Widowed
Marc,Crosby,Part-Time,19-06-1986,Technician,MA,Female,11159,Black,Single
Marques,Zimmerman,Part-Time,17-07-1960,Vp,MA,Male,52300,Asian,Single
Livia,Salazar,Temporary,15-10-1974,Locator,MA,Female,32620,Black,Married
Alana,Choi,Part-Time,09-02-1974,Engineer,MA,Female,83986,Hispanic,Married
Levi,Lawson,Temporary,31-12-1949,Vp,MA,Female,89298,Asian,Single
Kane,Black,Part-Time,09-04-1967,Coordinator,MA,Female,91837,Asian,Single
Paola,Weeks,Part-Time,26-12-1949,Recruiting,MA,Female,31362,Asian,Widowed
Brooklynn,Mack,Temporary,15-01-1996,Engineer,MA,Female,3274,Asian,Widowed
Darrell,Zamora,Part-Time,27-09-1964,Administrative,MA,Male,71373,Hispanic,Married
Irvin,Warner,Part-Time,14-01-1957,Accounting,MA,Male,66660,Asian,Married
Dayton,Castro,Full-Time,16-04-1967,Driller,MA,Male,26821,Other,Divorced
Hailey,Mckay,Part-Time,21-03-1987,Engineer,MA,Female,89365,Other,Divorced
Jaquan,Rowland,Full-Time,02-12-1994,Engineer,MA,Female,88976,Other,Widowed
David,Velez,Part-Time,31-12-1952,Technician,MA,Female,43853,Black,Single
Joslyn,Patel,Temporary,18-09-1974,Groundman,MA,Female,19697,Hispanic,Widowed
Colt,Archer,Temporary,03-10-1994,Laborer,MA,Female,50000,Black,Married
Abbigail,Cameron,Full-Time,17-03-1947,Support,MA,Female,35033,Other,Single
Anastasia,Escobar,Part-Time,07-05-1992,Project Manager,MA,Male,50676,Other,Divorced
Ronin,Mclaughlin,Temporary,19-06-1947,Director,MA,Female,25148,Black,Divorced
Aliana,Pena,Full-Time,17-05-1998,Administrative,MA,Female,96915,Other,Widowed
Ramon,Goodwin,Full-Time,11-12-1946,Laborer,MA,Female,95167,White,Married
Cory,Saunders,Part-Time,17-12-1975,Engineer,MA,Female,1223,Black,Divorced
Alessandra,Huynh,Part-Time,12-09-1968,Engineer,MA,Female,31462,Other,Single
Maeve,Holmes,Temporary,09-07-2001,Technician,MA,Female,6735,Hispanic,Single
Alejandra,Mclean,Temporary,11-04-1985,Project Manager,MA,Female,60585,Asian,Single
Reuben,Potter,Full-Time,13-03-1992,Laborer,MA,Female,46736,Black,Married
Marilyn,Greer,Part-Time,18-03-1959,Foreman,MA,Female,35941,White,Married
Camila,Nichols,Temporary,07-03-1979,Manager,MA,Female,11657,White,Widowed
Iris,Bruce,Full-Time,11-02-1954,Technician,MA,Male,72528,Asian,Married
Henry,Pratt,Temporary,03-02-1961,Technician,MA,Male,14705,White,Widowed
Kira,Soto,Temporary,14-11-1943,Ceo,MA,Male,5254,Black,Widowed
Ashanti,Scott,Part-Time,26-03-1972,Foreman,MA,Female,94026,Other,Single
Sarahi,Burke,Full-Time,09-09-1988,Operator,MA,Female,90967,White,Divorced
Aimee,Terry,Part-Time,30-11-1996,Driver,MA,Female,46879,Asian,Divorced
Jerimiah,Jackson,Full-Time,08-12-1990,Lineman,MA,Female,70353,Black,Widowed
Callie,Murray,Part-Time,05-03-1948,Laborer,MA,Female,27888,Asian,Married
Fabian,Young,Temporary,21-02-1982,Technician,MA,Female,36258,Asian,Divorced
Juliette,Morton,Part-Time,15-05-1971,Engineer,MA,Female,17844,Asian,Divorced
Alyvia,Sellers,Full-Time,07-06-1950,Groundman,MA,Female,87263,White,Married
Tyler,Gay,Temporary,24-11-1984,Laborer,MA,Female,8671,Black,Married
Noemi,Randall,Temporary,14-08-1991,Laborer,MA,Female,16520,White,Widowed
Jazlene,Lozano,Temporary,07-11-1978,Engineer,MA,Female,22868,Asian,Divorced
Jennifer,Salazar,Temporary,16-10-1977,Foreman,MA,Female,59954,Other,Widowed
Vaughn,Leonard,Temporary,14-07-1956,Laborer,MA,Male,43998,White,Single
Caitlin,Robertson,Part-Time,18-06-1957,Manager,MA,Female,75748,Asian,Married
Elyse,Huerta,Temporary,27-09-1959,Laborer,MA,Female,87591,Hispanic,Married
Kyle,Sanders,Full-Time,16-03-1977,Engineer,MA,Female,23777,Hispanic,Widowed
Barrett,Jennings,Full-Time,14-11-1952,Foreman,MA,Female,34732,Hispanic,Divorced
Darius,Koch,Full-Time,23-10-1998,Director,MA,Female,28097,Hispanic,Married
Kolton,Dawson,Full-Time,28-05-1976,Laborer,MA,Male,39841,Black,Widowed
Ciara,Cole,Full-Time,04-04-1971,Manager,MA,Male,46871,Hispanic,Divorced
Virginia,Wallace,Full-Time,11-09-1971,Lineman,MA,Female,91614,White,Divorced
Malik,Ochoa,Part-Time,26-12-1961,Technician,MA,Female,89515,Other,Single
Elyse,Pratt,Full-Time,28-04-1965,Laborer,MA,Female,82774,Black,Divorced
Yahir,Hill,Full-Time,17-10-1967,Laborer,MA,Female,79937,Hispanic,Married
Harley,Abbott,Part-Time,16-11-1951,Foreman,MA,Female,95232,Asian,Widowed
Dawson,Pratt,Temporary,27-05-1971,Coordinator,MA,Female,37465,Black,Single
Michaela,Smith,Part-Time,14-03-1957,Manager,MA,Female,50409,Asian,Single
Lillie,Leblanc,Full-Time,06-11-1975,Engineer,MA,Female,2006,Black,Single
Sincere,Rivera,Part-Time,19-06-1982,Splicer,MA,Female,55846,Other,Single
Lucas,Good,Full-Time,21-04-1978,Administrator,MA,Female,74245,White,Married
Jonas,Hernandez,Part-Time,10-05-1984,Technician,MA,Female,95565,Other,Single
Cason,Tyler,Part-Time,13-08-1955,Laborer,MA,Female,89318,White,Divorced
Malachi,Singleton,Full-Time,16-07-1994,Technician,MA,Female,29507,White,Married
Natalie,Christensen,Temporary,19-04-1944,Administrator,MA,Male,77219,Black,Single
Jordyn,Sheppard,Part-Time,19-12-1968,Administrative,MA,Female,30117,White,Widowed
Rohan,Matthews,Temporary,28-12-1980,Administrative,MA,Female,30179,Black,Widowed
Taniya,Stafford,Full-Time,18-02-2000,Drafter,MA,Female,72581,Asian,Married
Cherish,Preston,Full-Time,28-01-1985,Supervisor,MA,Female,39352,Other,Married
Briley,Hanson,Full-Time,21-07-1994,Supervisor,MA,Male,89374,Hispanic,Widowed
Hugo,Tate,Temporary,25-05-1999,Driller,MA,Male,74629,Asian,Divorced
Daniel,Griffin,Full-Time,18-09-1943,Technician,MA,Female,56136,Black,Widowed
Dakota,Salinas,Part-Time,29-05-1998,Lineman,MA,Female,69514,Hispanic,Single
Janiyah,Ballard,Full-Time,01-07-1942,Clerk,MA,Female,40307,Other,Single
Annika,Malone,Full-Time,14-05-1996,Administrator,MA,Female,57255,White,Married
Celeste,Lin,Temporary,12-03-1988,Coordinator,MA,Female,94486,Black,Divorced
Larissa,Warner,Part-Time,27-06-1943,Engineer,MA,Female,28931,White,Divorced
Lawrence,Cross,Full-Time,21-10-1993,Lineman,MA,Female,60878,Asian,Single
Kara,Barnes,Part-Time,28-09-1970,Laborer,MA,Female,58589,Hispanic,Single
Emery,Schmidt,Full-Time,24-10-1970,Groundman,MA,Female,26059,Other,Married
Adalyn,Vaughan,Part-Time,27-01-1985,Administrator,MA,Female,94411,Asian,Widowed
Chase,Lloyd,Temporary,08-08-1968,Technician,MA,Female,46980,Other,Married
Hallie,Delacruz,Temporary,10-03-1983,Laborer,MA,Female,12398,Black,Married
Tia,Atkins,Full-Time,10-10-1953,Foreman,MA,Female,95571,Asian,Widowed
Nia,Nicholson,Temporary,05-09-1967,Laborer,MA,Female,91189,Black,Married
Lilian,Norton,Temporary,28-03-1950,Driller,MA,Female,62803,Asian,Widowed
Aliana,Pennington,Full-Time,02-07-2000,Laborer,MA,Female,77552,Other,Married
Estrella,Benitez,Full-Time,01-02-1957,Administration,MA,Female,35973,Hispanic,Single
Kylie,Gilbert,Part-Time,13-02-1996,Safety,MA,Female,47801,Asian,Widowed
Oscar,Munoz,Temporary,14-11-1998,Laborer,MA,Male,1615,White,Married
Dane,Barton,Part-Time,07-08-1997,Coordinator,MA,Male,49042,Hispanic,Single
Dexter,Cline,Full-Time,24-02-1981,Director,MA,Male,94852,Black,Married
Atticus,Frost,Full-Time,03-10-1980,Supervisor,MA,Female,60350,Asian,Divorced
Yamilet,Cohen,Part-Time,15-05-1980,Driller,MA,Female,41055,Other,Widowed
Emmalee,Reynolds,Full-Time,11-02-1988,Technician,MA,Female,21439,Asian,Single
Moshe,Taylor,Part-Time,22-02-1987,Specialist,MA,Male,32645,Asian,Single
Irene,Melton,Full-Time,09-08-1997,Technician,MA,Female,47354,Black,Widowed
Eddie,Whitney,Part-Time,04-12-1957,Operator,MA,Female,64005,Hispanic,Single
Marcel,Gomez,Full-Time,30-08-1996,Technician,MA,Female,91553,White,Divorced
Amy,Foster-Baker,Temporary,21-12-1956,Tester,MA,Female,2050,Asian,Widowed
Janet,King,Full-Time,24-10-1955,Foreman,MA,Female,1902,Asian,Single
Bonalyn,Boutwell,Part-Time,23-11-1950,Lineman,MA,Female,2468,Black,Widowed
Nan,Singh,Temporary,14-05-1984,Laborer,MA,Female,2330,White,Divorced
Tyrone,Steans,Temporary,23-07-1964,Intern,MA,Male,2703,Asian,Married
Estelle,Howard,Full-Time,06-09-1983,Billing,MA,Female,2170,White,Widowed
William,LaRotonda,Full-Time,16-03-1958,Vp,MA,Male,1460,Black,Single
Mia,Brown,Full-Time,18-05-1985,Ceo,MA,Female,1450,Hispanic,Widowed
Leigh Ann,Smith,Temporary,19-03-1953,Foreman,MA,Female,1844,Black,Divorced
Peter,Foley,Part-Time,28-10-1986,Helper,MA,Female,11194,Hispanic,Single
Maximus,Carney,Temporary,02-05-1982,Drafter,MA,Female,60432,Black,Divorced
Jaida,Sweeney,Temporary,17-11-1977,Billing,MA,Male,86677,White,Widowed
Rhys,Lawson,Temporary,20-02-1960,Engineer,MA,Male,93156,White,Single
Skyler,Robles,Full-Time,24-12-1975,Vp,MA,Male,66733,Asian,Single
Allyson,Keller,Part-Time,01-11-1958,Laborer,MA,Male,77070,Black,Widowed
Eddie,Bauer,Part-Time,01-03-1990,Associate,MA,Female,66991,White,Divorced
Roger,Taylor,Temporary,20-10-1946,Intern,MA,Female,69431,Black,Widowed
Marshall,Sellers,Part-Time,22-10-1946,Foreman,MA,Male,12089,Hispanic,Divorced
Cloe,Mcgrath,Part-Time,15-04-1978,Laborer,MA,Male,74486,Black,Divorced
Susan,Gordon,Part-Time,23-09-1952,Laborer,MA,Male,15975,Other,Widowed
Makenna,Newton,Full-Time,24-11-1947,Technician,MA,Female,27425,White,Divorced
Kellen,Smith,Part-Time,14-07-1947,Technician,MA,Female,88247,Black,Married
Sherlyn,Carroll,Temporary,30-03-1953,Safety Manager,MA,Female,71014,White,Single
Rogelio,Flores,Part-Time,14-03-1988,Mechanic,MA,Male,90987,Other,Widowed
Kadence,Gentry,Temporary,19-11-1981,Foreman,MA,Male,47635,Hispanic,Widowed
Willow,Golden,Part-Time,22-03-1945,Engineer,MA,Male,37302,White,Divorced
Amiyah,Sims,Full-Time,22-02-1979,Engineer,MA,Female,76343,Hispanic,Single
Jeffery,Hogan,Part-Time,30-06-1985,Lineman,MA,Female,2559,Asian,Single
Shaniya,Hamilton,Temporary,31-05-1958,Manager,MA,Female,68008,White,Married
Johan,Willis,Part-Time,21-12-1980,Foreman,MA,Male,93554,White,Single
Seth,Alvarez,Full-Time,13-05-1978,Engineer,MA,Male,85275,Other,Single
Aron,Grant,Temporary,13-09-1948,Laborer,MA,Male,37276,White,Divorced
Haleigh,Carter,Full-Time,21-03-1995,Coordinator,MA,Male,54734,Hispanic,Married
Tatiana,Ayala,Part-Time,13-04-1993,Engineer,MA,Female,34961,Other,Married
Kaylynn,Mcguire,Part-Time,27-11-1949,Manager,MA,Female,33234,White,Divorced
Timothy,Villarreal,Temporary,02-11-1968,Laborer,MA,Female,45030,Black,Divorced
Elliott,Petersen,Part-Time,05-03-1998,Tower Hand,MA,Male,38846,White,Divorced
Lily,Tyler,Full-Time,18-06-1974,Technician,MA,Male,43568,Other,Divorced
Noe,Mann,Temporary,04-03-1946,Supervisor,MA,Male,48891,White,Single
Christina,Terry,Full-Time,07-05-1959,Top Hand,MA,Female,79778,Black,Widowed
Niko,Durham,Temporary,20-05-1945,Coordinator,MA,Female,79459,Hispanic,Single
Dante,Strong,Temporary,12-06-1988,Engineer,MA,Female,93230,Hispanic,Married
Angeline,Perez,Temporary,04-07-1972,Principal,MA,Male,74550,Black,Divorced
Jairo,Blanchard,Full-Time,29-03-1996,Laborer,MA,Male,1706,Black,Married
Rishi,Watkins,Part-Time,19-03-1998,Foreman,MA,Male,50894,Asian,Married
Immanuel,Goodwin,Full-Time,25-09-1964,Technician,MA,Male,27367,Asian,Divorced
Elle,Berry,Full-Time,26-09-1949,Supervisor,MA,Female,18484,Black,Married
Raphael,Francis,Part-Time,11-10-1983,Technician,MA,Female,36283,Asian,Widowed
Hadley,Barrett,Full-Time,21-04-1982,Laborer,MA,Female,82125,Asian,Divorced
Mollie,Jenkins,Temporary,20-01-1973,Administration,MA,Male,32101,White,Divorced
Cali,Nolan,Part-Time,13-07-1982,Lineman,MA,Male,64340,Hispanic,Widowed
Malik,Crane,Temporary,15-01-1950,Laborer,MA,Male,14151,Black,Single
Bryce,Higgins,Temporary,12-08-1990,Coordinator,MA,Female,61754,White,Divorced
Beatrice,Bean,Temporary,26-08-1993,Estimator,MA,Female,24157,White,Widowed
Shea,Novak,Full-Time,24-03-1974,Foreman,MA,Female,6564,Black,Married
Mateo,Mcdaniel,Temporary,13-12-1992,Locator,MA,Female,55619,Black,Married
Arianna,Carlson,Part-Time,07-05-1957,Technician,MA,Female,26844,Black,Married
Frankie,Davenport,Full-Time,19-08-1991,Foreman,MA,Male,34610,White,Single
Morgan,Hammond,Part-Time,20-04-1986,Laborer,MA,Male,20630,Other,Divorced
Judith,Mccullough,Temporary,12-09-1942,Foreman,MA,Female,78109,White,Married
Luca,Francis,Full-Time,07-07-1999,Intern,MA,Female,1498,Asian,Divorced
Mallory,Figueroa,Temporary,08-12-1958,Supervisor,MA,Female,30890,Other,Single
Larissa,Douglas,Full-Time,18-05-1968,Technician,MA,Female,67773,White,Divorced
Konnor,Rivas,Part-Time,06-03-1975,Engineer,MA,Female,12640,White,Married
Fernanda,Yu,Temporary,21-10-1984,Supervisor,MA,Male,64384,White,Widowed
Solomon,Paul,Temporary,04-05-1953,Laborer,MA,Male,3676,Hispanic,Single
Emiliano,Young,Temporary,01-11-2000,Foreman,MA,Female,71974,Other,Single
Mason,Ellis,Part-Time,16-03-1968,Supervisor,MA,Female,27614,White,Widowed
Athena,Moore,Part-Time,10-10-1994,Technician,MA,Female,88549,Hispanic,Divorced
Karla,Farrell,Full-Time,12-03-1956,Groundman,MA,Female,14083,Other,Single
Anderson,Meadows,Part-Time,09-05-1966,Laborer,MA,Female,37965,Hispanic,Divorced
Jacey,Braun,Full-Time,19-08-1976,Technician,MA,Female,13405,White,Married
Nathan,Kline,Full-Time,27-08-1951,Laborer,MA,Male,63614,Hispanic,Divorced
Gabriella,Benitez,Full-Time,23-12-1970,Construction Manager,MA,Female,31721,Black,Single
Juan,Gonzalez,Full-Time,11-11-1962,Manager,MA,Male,2128,Hispanic,Widowed
Cayo,Gonzalez,Part-Time,21-12-1955,Lineman,MA,Male,2108,Asian,Married
Taylor,Sparks,Temporary,18-11-1941,Supervisor,MA,Female,2093,Other,Single
Jeanette,Tippett,Part-Time,25-02-1955,Operator,MA,Female,2093,Hispanic,Widowed
Rose,Ivey,Part-Time,20-03-1947,Flagger,MA,Female,1775,Other,Single
Elijian,Clukey,Part-Time,13-05-1943,Laborer,MA,Male,2134,Black,Married
Jordan,Winthrop,Part-Time,14-11-1960,Laborer,MA,Male,2045,Black,Divorced
Shari,Ngodup,Full-Time,07-09-1956,Engineer,MA,Female,1810,Hispanic,Married
John,Kretschmer,Part-Time,26-02-1981,Laborer,MA,Male,1801,Other,Single
Debbie,Mangal,Full-Time,12-12-1972,Runner,MA,Female,2451,White,Single
Helen,Billis,Full-Time,15-12-1977,Foreman,MA,Female,2031,Other,Widowed
Yen,Johnston,Full-Time,03-04-1955,Laborer,MA,Female,2128,White,Divorced
Hong,Pham,Part-Time,17-08-1967,Lineman,MA,Male,2451,White,Single
Linda,Bachiochi,Full-Time,12-10-1988,Technician,MA,Female,1902,White,Divorced
Lily,DiNocco,Temporary,09-12-1944,Technician,MA,Female,2351,White,Widowed
Ned,Miller,Part-Time,06-12-1978,Manager,MA,Male,2472,Hispanic,Single
Shana,Petingill,Temporary,30-03-1977,Construction Manager,MA,Female,2050,Other,Single
Jennifer,Cloninger,Full-Time,10-11-1982,Flagger,MA,Female,1752,Asian,Single
Elias,Robinson,Temporary,30-03-1983,Administrative,MA,Male,1730,Hispanic,Married
Libby,Fidelia,Part-Time,03-12-1980,Supervisor,MA,Female,2155,Other,Single
Catherine,Ybarra,Part-Time,02-04-1981,Technician,MA,Female,2458,Other,Widowed
Ashanti,Price,Temporary,08-08-1945,Laborer,MA,Female,26720,White,Widowed
Makenna,Rojas,Part-Time,26-05-1980,Foreman,MA,Female,78612,Hispanic,Married
Rory,Stone,Full-Time,19-09-1982,Warehouse Technician,MA,Female,75935,White,Widowed
Ann,Montgomery,Full-Time,12-03-1943,Accounting,MA,Male,51599,Black,Widowed
Erin,Holder,Full-Time,03-06-1966,Labor,MA,Male,95839,Asian,Married
